SBML ID	UNIPROT GENE
4*AT3G26650 OR AT1G12900 OR 2*AT3G26650 OR AT1G12900 AND 2*AT1G42970	average_protein_Cytoplasm
AT2G22780 OR AT5G09660	average_protein_Cytoplasm
4*AT4G19710 OR AT1G31230 OR AT5G13280 OR AT3G02020 OR AT5G14060	average_protein_Cytoplasm
8*AT5G61410	average_protein_Cytoplasm
AT3G14420 OR AT3G14415	average_protein_Cytoplasm
AT3G30775 OR AT5G38710	average_protein_Cytoplasm
AT5G20980 OR AT5G17920 OR AT3G03780	average_protein_Cytoplasm
2*AT4G24620 OR AT5G42740	average_protein_Cytoplasm
AT4G04610 OR AT1G62180 OR AT4G21990	average_protein_Cytoplasm
AT2G21940 OR AT4G39540	average_protein_Cytoplasm
AT3G29200 OR AT5G10870 OR AT1G69370	average_protein_Cytoplasm
6*AT5G18170 OR AT5G07440	average_protein_Cytoplasm
2*AT4G33680	average_protein_Cytoplasm
3*AT5G55070 OR AT4G26910	average_protein_Cytoplasm
8*ATCG00490 AND 8*AT5G38430 OR AT5G38420 OR AT1G67090 OR AT5G38410	average_protein_Cytoplasm
AT2G05710 OR AT4G26970	average_protein_Cytoplasm
6*AT5G18170 OR AT5G07440 OR AT3G03910	average_protein_Cytoplasm
AT4G29220 OR AT5G47810 OR AT4G26270 OR AT4G32840 OR AT5G56630	average_protein_Cytoplasm
6*AT5G17330 OR AT1G65960 OR AT2G02000 OR AT2G02010 OR AT3G17760	average_protein_Cytoplasm
3*ATMG01190 AND 3*AT5G08670 OR AT5G08690 OR AT5G08680 AND AT2G33040 AND AT5G13450 OR AT5G47030 AND AT1G51650 AND ATMG00410 OR ATMG01170 AND 2*ATMG00640 OR ATMG00480 AND 12*ATMG01080 OR AT2G07671 AND AT3G52300	average_protein_Cytoplasm
AT5G66190 AND AT1G20020	average_protein_Cytoplasm
2*AT1G32060	average_protein_Cytoplasm
2*AT4G35460 OR AT2G17420 OR AT2G41680	average_protein_Cytoplasm
ARTHCP068	average_protein_Cytoplasm
ARTHMP086	average_protein_Cytoplasm
ARTHCP078	average_protein_Cytoplasm
ARTHCP079	average_protein_Cytoplasm
ARTHCP071	average_protein_Cytoplasm
ARTHCP074	average_protein_Cytoplasm
ARTHCP076	average_protein_Cytoplasm
ARTHCP077	average_protein_Cytoplasm
ARTHMP098	average_protein_Cytoplasm
ARTHMP094	average_protein_Cytoplasm
ARTHCP009	average_protein_Cytoplasm
ARTHCP008	average_protein_Cytoplasm
ARTHCP007	average_protein_Cytoplasm
ARTHCP010	average_protein_Cytoplasm
ARTHCP027	average_protein_Cytoplasm
ARTHCP026	average_protein_Cytoplasm
ARTHCP025	average_protein_Cytoplasm
ARTHCP029	average_protein_Cytoplasm
ARTHCP028	average_protein_Cytoplasm
ARTHCP030	average_protein_Cytoplasm
ARTHMP058	average_protein_Cytoplasm
ARTHMP051	average_protein_Cytoplasm
NF	average_protein_Cytoplasm
ARTHMP024	average_protein_Cytoplasm
ARTHMP026	average_protein_Cytoplasm
AT3G06810	average_protein_Cytoplasm
ARTHMP035	average_protein_Cytoplasm
ARTHCP080	average_protein_Cytoplasm
ARTHMP007	average_protein_Cytoplasm
ARTHMP006	average_protein_Cytoplasm
AT5G57590	average_protein_Cytoplasm
ARTHMP043	average_protein_Cytoplasm
