SBML ID	UNIPROT GENE
e0222	average_protein_Cell_outer_membrane
e0223	average_protein_Cell_outer_membrane
e0224	average_protein_Cell_outer_membrane
e0225	average_protein_Cell_outer_membrane
e0226	average_protein_Cell_outer_membrane
e0227	average_protein_Cell_outer_membrane
e0081	average_protein_Cell_outer_membrane
d0147	
d0093	
e0048	average_protein_Cell_outer_membrane
e0455	average_protein_Cell_outer_membrane
e0454	average_protein_Cell_outer_membrane
e0453	average_protein_Cell_outer_membrane
e0452	average_protein_Cell_outer_membrane
e0451	average_protein_Cell_outer_membrane
e0049	average_protein_Cell_outer_membrane
RS00484	
d0142	
d0143	
e0044	average_protein_Cell_outer_membrane
d0090	
d0219	
d0214	
d0215	
e0051	average_protein_Cell_outer_membrane
d0217	
d0210	
e0046	average_protein_Cell_outer_membrane
d0212	
d0213	
e0314	average_protein_Cell_outer_membrane
e0315	average_protein_Cell_outer_membrane
e0316	average_protein_Cell_outer_membrane
e0317	average_protein_Cell_outer_membrane
e0310	average_protein_Cell_outer_membrane
e0311	average_protein_Cell_outer_membrane
e0312	average_protein_Cell_outer_membrane
e0313	average_protein_Cell_outer_membrane
e0097	average_protein_Cell_outer_membrane
d0148	
e0095	average_protein_Cell_outer_membrane
e0094	average_protein_Cell_outer_membrane
e0318	average_protein_Cell_outer_membrane
e0319	average_protein_Cell_outer_membrane
e0091	average_protein_Cell_outer_membrane
d0022	
e0259	average_protein_Cell_outer_membrane
e0258	average_protein_Cell_outer_membrane
e0255	average_protein_Cell_outer_membrane
e0254	average_protein_Cell_outer_membrane
e0257	average_protein_Cell_outer_membrane
e0256	average_protein_Cell_outer_membrane
e0251	average_protein_Cell_outer_membrane
e0250	average_protein_Cell_outer_membrane
e0253	average_protein_Cell_outer_membrane
e0252	average_protein_Cell_outer_membrane
RS05583	
e0186	average_protein_Cell_outer_membrane
RS05586	
RS05584	
RS05585	
d0230	
d0231	
d0097	
RSc3445	[MISSING]
e0001	average_protein_Cell_outer_membrane
e0002	average_protein_Cell_outer_membrane
e0004	average_protein_Cell_outer_membrane
e0005	average_protein_Cell_outer_membrane
e0006	average_protein_Cell_outer_membrane
e0007	average_protein_Cell_outer_membrane
e0008	average_protein_Cell_outer_membrane
e0009	average_protein_Cell_outer_membrane
d0108	
d0109	
d0100	
d0101	
d0102	
d0103	
d0104	
d0105	
d0106	
d0107	
e0394	average_protein_Cell_outer_membrane
e0395	average_protein_Cell_outer_membrane
e0396	average_protein_Cell_outer_membrane
d0089	
d0088	
e0397	average_protein_Cell_outer_membrane
s0028	
s0029	
s0024	
s0025	
s0026	
s0027	
d0085	
s0021	
s0022	
s0023	
e0392	average_protein_Cell_outer_membrane
e0393	average_protein_Cell_outer_membrane
d0074	
d0075	
d0076	
d0077	
e0178	average_protein_Cell_outer_membrane
e0179	average_protein_Cell_outer_membrane
d0072	
d0073	
e0174	average_protein_Cell_outer_membrane
e0175	average_protein_Cell_outer_membrane
e0176	average_protein_Cell_outer_membrane
e0177	average_protein_Cell_outer_membrane
e0170	average_protein_Cell_outer_membrane
e0171	average_protein_Cell_outer_membrane
e0172	average_protein_Cell_outer_membrane
e0173	average_protein_Cell_outer_membrane
d0178	
d0175	
d0177	
d0176	
d0171	
d0170	
d0173	
d0172	
e0212	average_protein_Cell_outer_membrane
RS01509	
RS01507	
e0391	average_protein_Cell_outer_membrane
RS01505	
e0047	average_protein_Cell_outer_membrane
e0211	average_protein_Cell_outer_membrane
e0210	average_protein_Cell_outer_membrane
e0213	average_protein_Cell_outer_membrane
RS02241	
e0215	average_protein_Cell_outer_membrane
e0214	average_protein_Cell_outer_membrane
e0217	average_protein_Cell_outer_membrane
e0089	average_protein_Cell_outer_membrane
e0350	average_protein_Cell_outer_membrane
e0351	average_protein_Cell_outer_membrane
e0352	average_protein_Cell_outer_membrane
e0353	average_protein_Cell_outer_membrane
e0354	average_protein_Cell_outer_membrane
e0355	average_protein_Cell_outer_membrane
e0356	average_protein_Cell_outer_membrane
e0357	average_protein_Cell_outer_membrane
e0404	average_protein_Cell_outer_membrane
e0405	average_protein_Cell_outer_membrane
e0406	average_protein_Cell_outer_membrane
e0407	average_protein_Cell_outer_membrane
e0400	average_protein_Cell_outer_membrane
e0401	average_protein_Cell_outer_membrane
e0402	average_protein_Cell_outer_membrane
e0403	average_protein_Cell_outer_membrane
e0145	average_protein_Cell_outer_membrane
e0408	average_protein_Cell_outer_membrane
e0409	average_protein_Cell_outer_membrane
d0225	
d0224	
d0227	
d0226	
d0221	
d0220	
d0223	
d0222	
e0076	average_protein_Cell_outer_membrane
d0229	
d0228	
e0083	average_protein_Cell_outer_membrane
e0216	average_protein_Cell_outer_membrane
e0042	average_protein_Cell_outer_membrane
e0329	average_protein_Cell_outer_membrane
e0328	average_protein_Cell_outer_membrane
e0325	average_protein_Cell_outer_membrane
e0324	average_protein_Cell_outer_membrane
e0327	average_protein_Cell_outer_membrane
e0326	average_protein_Cell_outer_membrane
e0321	average_protein_Cell_outer_membrane
e0320	average_protein_Cell_outer_membrane
e0323	average_protein_Cell_outer_membrane
e0322	average_protein_Cell_outer_membrane
d0130	
e0288	average_protein_Cell_outer_membrane
e0289	average_protein_Cell_outer_membrane
e0282	average_protein_Cell_outer_membrane
e0283	average_protein_Cell_outer_membrane
e0280	average_protein_Cell_outer_membrane
e0281	average_protein_Cell_outer_membrane
e0286	average_protein_Cell_outer_membrane
e0287	average_protein_Cell_outer_membrane
e0284	average_protein_Cell_outer_membrane
e0285	average_protein_Cell_outer_membrane
e0358	average_protein_Cell_outer_membrane
RS02886	
RS02887	
e0359	average_protein_Cell_outer_membrane
e0249	average_protein_Cell_outer_membrane
e0130	average_protein_Cell_outer_membrane
e0131	average_protein_Cell_outer_membrane
e0132	average_protein_Cell_outer_membrane
e0133	average_protein_Cell_outer_membrane
e0134	average_protein_Cell_outer_membrane
e0135	average_protein_Cell_outer_membrane
e0136	average_protein_Cell_outer_membrane
e0137	average_protein_Cell_outer_membrane
e0138	average_protein_Cell_outer_membrane
e0139	average_protein_Cell_outer_membrane
d0038	
d0039	
d0133	
d0132	
d0135	
d0134	
RS02400	
d0136	
d0030	
d0031	
d0032	
d0033	
d0034	
d0035	
d0036	
d0037	
e0219	average_protein_Cell_outer_membrane
e0218	average_protein_Cell_outer_membrane
s0015	
s0014	
s0017	
s0016	
s0011	
s0010	
s0013	
s0012	
s0018	
e0031	average_protein_Cell_outer_membrane
e0071	average_protein_Cell_outer_membrane
RS02662	
e0144	average_protein_Cell_outer_membrane
e0147	average_protein_Cell_outer_membrane
e0146	average_protein_Cell_outer_membrane
e0141	average_protein_Cell_outer_membrane
e0140	average_protein_Cell_outer_membrane
e0143	average_protein_Cell_outer_membrane
e0142	average_protein_Cell_outer_membrane
e0149	average_protein_Cell_outer_membrane
e0148	average_protein_Cell_outer_membrane
d0049	
d0048	
d0045	
d0044	
d0047	
e0054	average_protein_Cell_outer_membrane
d0041	
d0040	
d0043	
d0042	
e0098	average_protein_Cell_outer_membrane
e0448	average_protein_Cell_outer_membrane
e0449	average_protein_Cell_outer_membrane
e0262	average_protein_Cell_outer_membrane
e0440	average_protein_Cell_outer_membrane
e0441	average_protein_Cell_outer_membrane
e0442	average_protein_Cell_outer_membrane
e0443	average_protein_Cell_outer_membrane
e0444	average_protein_Cell_outer_membrane
e0445	average_protein_Cell_outer_membrane
e0446	average_protein_Cell_outer_membrane
e0447	average_protein_Cell_outer_membrane
d0182	
d0183	
e0052	average_protein_Cell_outer_membrane
d0131	
e0361	average_protein_Cell_outer_membrane
e0360	average_protein_Cell_outer_membrane
e0363	average_protein_Cell_outer_membrane
e0362	average_protein_Cell_outer_membrane
e0365	average_protein_Cell_outer_membrane
e0364	average_protein_Cell_outer_membrane
e0367	average_protein_Cell_outer_membrane
e0366	average_protein_Cell_outer_membrane
e0369	average_protein_Cell_outer_membrane
e0368	average_protein_Cell_outer_membrane
e0082	average_protein_Cell_outer_membrane
e0390	average_protein_Cell_outer_membrane
e0084	average_protein_Cell_outer_membrane
e0085	average_protein_Cell_outer_membrane
e0086	average_protein_Cell_outer_membrane
e0087	average_protein_Cell_outer_membrane
d0188	
e0055	average_protein_Cell_outer_membrane
e0050	average_protein_Cell_outer_membrane
e0248	average_protein_Cell_outer_membrane
d0189	
e0246	average_protein_Cell_outer_membrane
e0247	average_protein_Cell_outer_membrane
e0244	average_protein_Cell_outer_membrane
e0245	average_protein_Cell_outer_membrane
e0242	average_protein_Cell_outer_membrane
e0243	average_protein_Cell_outer_membrane
e0240	average_protein_Cell_outer_membrane
e0241	average_protein_Cell_outer_membrane
e0439	average_protein_Cell_outer_membrane
e0438	average_protein_Cell_outer_membrane
e0435	average_protein_Cell_outer_membrane
e0434	average_protein_Cell_outer_membrane
e0436	average_protein_Cell_outer_membrane
e0431	average_protein_Cell_outer_membrane
e0430	average_protein_Cell_outer_membrane
e0433	average_protein_Cell_outer_membrane
e0432	average_protein_Cell_outer_membrane
RSc0775	[MISSING]
e0059	average_protein_Cell_outer_membrane
NoAssignment	average_protein_Cytoplasm
