function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
Tcys	medium_3	CONSTANT	60303.6048
Tcys	medium_4	CONSTANT	60303.6048
Tcys	medium_5	CONSTANT	60303.6048
Tcys	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	60303.6048	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcys2	medium_1	CONSTANT	30151.8024
Tcys2	medium_2	CONSTANT	30151.8024
Tcys2	medium_3	CONSTANT	30151.8024
Tcys2	medium_4	CONSTANT	30151.8024
Tcys2	medium_5	CONSTANT	30151.8024
Tcys2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	30151.8024	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TglnT	medium_1	CONSTANT	428075.5745
TglnT	medium_2	CONSTANT	428075.5745
TglnT	medium_3	CONSTANT	428075.5745
TglnT	medium_4	CONSTANT	428075.5745
TglnT	medium_5	CONSTANT	428075.5745
TglnT	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tgln2	medium_1	CONSTANT	214037.7872
Tgln2	medium_2	CONSTANT	214037.7872
Tgln2	medium_3	CONSTANT	214037.7872
Tgln2	medium_4	CONSTANT	214037.7872
Tgln2	medium_5	CONSTANT	214037.7872
Tgln2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	214037.7872	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TgltT	medium_1	CONSTANT	98853.3134
TgltT	medium_2	CONSTANT	98853.3134
TgltT	medium_3	CONSTANT	98853.3134
TgltT	medium_4	CONSTANT	98853.3134
TgltT	medium_5	CONSTANT	98853.3134
TgltT	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	98853.3134	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tgly	medium_1	CONSTANT	74659.5126
Tgly	medium_2	CONSTANT	74659.5126
Tgly	medium_3	CONSTANT	74659.5126
Tgly	medium_4	CONSTANT	74659.5126
Tgly	medium_5	CONSTANT	74659.5126
Tgly	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	74659.5126	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
This	medium_1	CONSTANT	210725.0892
This	medium_2	CONSTANT	210725.0892
This	medium_3	CONSTANT	210725.0892
This	medium_4	CONSTANT	210725.0892
This	medium_5	CONSTANT	210725.0892
This	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	210725.0892	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tile	medium_1	CONSTANT	386123.6021
Tile	medium_2	CONSTANT	386123.6021
Tile	medium_3	CONSTANT	386123.6021
Tile	medium_4	CONSTANT	386123.6021
Tile	medium_5	CONSTANT	386123.6021
Tile	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	386123.6021	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tleu	medium_1	CONSTANT	274422.3877
Tleu	medium_2	CONSTANT	274422.3877
Tleu	medium_3	CONSTANT	274422.3877
Tleu	medium_4	CONSTANT	274422.3877
Tleu	medium_5	CONSTANT	274422.3877
Tleu	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	274422.3877	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tlys	medium_1	CONSTANT	295144.3562
Tlys	medium_2	CONSTANT	295144.3562
Tlys	medium_3	CONSTANT	295144.3562
Tlys	medium_4	CONSTANT	295144.3562
Tlys	medium_5	CONSTANT	295144.3562
Tlys	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	295144.3562	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tmet	medium_1	CONSTANT	167957.7493
Tmet	medium_2	CONSTANT	167957.7493
Tmet	medium_3	CONSTANT	167957.7493
Tmet	medium_4	CONSTANT	167957.7493
Tmet	medium_5	CONSTANT	167957.7493
Tmet	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	167957.7493	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tmet2	medium_1	CONSTANT	83978.8747
Tmet2	medium_2	CONSTANT	83978.8747
Tmet2	medium_3	CONSTANT	83978.8747
Tmet2	medium_4	CONSTANT	83978.8747
Tmet2	medium_5	CONSTANT	83978.8747
Tmet2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	83978.8747	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tphe	medium_1	CONSTANT	175176.7368
Tphe	medium_2	CONSTANT	175176.7368
Tphe	medium_3	CONSTANT	175176.7368
Tphe	medium_4	CONSTANT	175176.7368
Tphe	medium_5	CONSTANT	175176.7368
Tphe	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	175176.7368	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tpro	medium_1	CONSTANT	33444.7247
Tpro	medium_2	CONSTANT	33444.7247
Tpro	medium_3	CONSTANT	33444.7247
Tpro	medium_4	CONSTANT	33444.7247
